행정구역,인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 달서구 본동(2729065000),"12,901","12,901",628,955,"1,663","1,446","1,896","2,536","2,155","1,062",485,75,0
대구광역시 달성군 (2771000000),"259,124","259,124","29,257","23,967","28,822","41,359","43,501","40,693","30,340","14,049","6,338",780,18
대구광역시 달성군 화원읍(2771025000),"47,783","47,783","3,238","4,528","6,306","5,192","6,997","9,683","7,113","3,226","1,336",160,4
대구광역시 달성군 논공읍(2771025300),"4,615","4,615",265,166,485,562,553,911,895,473,268,36,1
대구광역시 달성군 논공읍공단출장소(2771025400),"13,540","13,540",802,"1,404","1,872","1,367","2,505","2,974","1,586",657,337,34,2
대구광역시 달성군 다사읍(2771025600),"50,476","50,476","5,862","5,921","5,606","7,116","9,542","7,886","5,232","2,355",847,108,1
대구광역시 달성군 다사읍서재출장소(2771025700),"38,569","38,569","6,236","3,456","3,948","8,432","7,057","4,930","3,017","1,097",348,46,2
대구광역시 달성군 유가읍(2771025900),"29,698","29,698","5,280","3,415","2,445","6,212","5,971","2,962","2,153",842,369,48,1
대구광역시 달성군 옥포읍(2771026200),"25,332","25,332","2,596","1,785","2,650","3,994","3,687","4,273","3,772","1,754",740,81,0
대구광역시 달성군 현풍읍(2771026500),"22,999","22,999","2,401","1,693","3,114","4,360","3,582","3,181","2,610","1,335",654,67,2
대구광역시 달성군 가창면(2771031000),"7,828","7,828",409,478,669,626,922,"1,339","1,645","1,021",615,102,2
대구광역시 달성군 하빈면(2771033000),"3,675","3,675",111,126,278,289,310,808,850,506,352,43,2
대구광역시 달성군 구지면(2771038000),"14,609","14,609","2,057",995,"1,449","3,209","2,375","1,746","1,467",783,472,55,1
